商机ID,客户名称,预测金额,预测类别,预计关单日,商机阶段,成交概率,销售负责人,关联合同ID,备注
OPP2001,阿里巴巴集团控股有限公司,250000,承诺,2026-07-19,商务谈判,80%,周强,HT202400001,
OPP2002,腾讯科技（深圳）有限公司,450000,最佳情况,2026-08-08,需求确认,50%,吴磊,HT202400002,
OPP2003,百度在线网络技术（北京）有限公司,180000,承诺,2026-07-04,合同审批,90%,郑雪,HT202400003,
OPP2004,字节跳动有限公司,1200000,已赢单,2026-06-29,合同签署,100%,孙涛,HT202400004,客户确认增购50%席位，合同盖章中
OPP2005,美团,72000,最佳情况,2026-09-02,需求确认,40%,马丽,HT202400005,客户预算评估中，可能缩量
OPP2006,京东集团股份有限公司,360000,承诺,2026-07-04,合同审批,90%,周强,HT202400006,
OPP2007,拼多多信息技术有限公司,,管道,,初步接触,0%,吴磊,HT202400007,尚未录入，等待销售确认续费意向
OPP2008,小米,45000,最佳情况,2026-08-08,需求确认,50%,郑雪,HT202400008,
OPP2009,华为,500000,承诺,2026-07-04,合同审批,90%,孙涛,HT202400009,
OPP2010,网易（杭州）网络有限公司,250000,承诺,2026-07-19,商务谈判,80%,马丽,HT202400010,
OPP2011,滴滴,234000,承诺,2026-07-09,商务谈判,85%,周强,HT202400011,预计增购席位，等客户确认具体数量
OPP2012,顺丰,120000,承诺,2026-12-16,方案确认,75%,吴磊,HT202400012,合同还早，先占位
