素材编号,标题,文案内容,投放渠道,提交时间
AD2025001,新品首发促销活动,本产品采用最先进的技术，是行业第一的选择，效果堪称最佳,抖音电商,2026-06-01 10:00:00
AD2025002,夏季护肤套装推荐,这款护肤品具有特效美白功能，无效退款，100%纯天然成分,快手信息流,2026-06-02 14:30:00
AD2025003,健康食品促销,有机健康食品，补充营养增强体质，日常膳食好选择,微信朋友圈,2026-06-03 09:15:00
AD2025004,数码产品618大促,最新款数码产品，性能卓越，唯一的旗舰级体验,抖音电商,2026-06-04 16:45:00
AD2025005,家居用品推荐,高品质家居用品，打造温馨舒适的居家环境,小红书,2026-06-05 11:20:00
AD2025006,教育课程推广,在线教育课程，名师授课，学习效果显著提升,微信朋友圈,2026-06-06 13:00:00
AD2025007,保健品宣传,本产品可以根治多种疾病，是国家级认证的特效产品,百度信息流,2026-06-07 08:30:00
AD2025008,美食外卖优惠,美味外卖，限时优惠，品质保证美味可口,美团,2026-06-08 17:00:00
AD2025009,旅游产品推荐,精品旅游线路，带您领略最美风光，体验第一流服务,携程,2026-06-09 10:30:00
AD2025010,服装新品上市,新款时尚服装，最高级面料，独特设计,天猫,2026-06-10 15:00:00
