月份,资源ID,资源名称,资源类型,区域,项目标签,负责人,费用,币种
2026-04,i-2ze8a1b2c3,web-prod-01,ECS,华东1,Alpha,张伟,3280.50,CNY
2026-04,i-2ze8a1b2c4,web-prod-01,ECS,华东1,alpha,张伟,3280.50,CNY
2026-04,i-2ze8a1b2c5,db-prod-master,RDS,华东1,Alpha,张伟,8960.00,CNY
2026-04,i-2ze8a1b2c6,cache-prod,Redis,华东1,Alpha,李娜,2150.00,CNY
2026-04,i-2ze8a1b2c7,oss-data-lake,OSS,华东1,Beta,王强,4520.30,CNY
2026-04,i-2ze8a1b2c8,ml-training-gpu,ECS,华北2,Beta,王强,15800.00,CNY
2026-04,i-2ze8a1b2c9,test-api-server,ECS,华东2,Gamma,赵敏,680.00,CNY
2026-04,i-2ze8a1b2d0,dev-sandbox,ECS,华东2,,赵敏,120.00,CNY
2026-04,i-2ze8a1b2d1,log-collector,ECS,华东1,Delta,陈磊,450.00,CNY
2026-04,i-2ze8a1b2d2,monitor-agent,ECS,华东1,Delta,陈磊,380.00,CNY
2026-04,i-2ze8a1b2d3,staging-db,RDS,华东1,Epsilon,周杰,1200.00,CNY
2026-04,i-2ze8a1b2d4,tmp-benchmark,ECS,华东2,,刘洋,35.00,CNY
2026-04,i-2ze8a1b2d5,cdn-accelerate,CDN,华东1,Beta,,2100.00,CNY
2026-04,i-2ze8a1b2d6,k8s-node-01,ECS,华东1,Alpha,张伟,2890.00,CNY
2026-04,i-2ze8a1b2d7,k8s-node-02,ECS,华东1,Alpha,张伟,2890.00,CNY
2026-04,i-2ze8a1b2d8,lambda-etl,FunctionCompute,华东1,Gamma,,56.00,CNY
2026-04,i-2ze8a1b2d9,unassigned-backup,OSS,华东1,,,89.00,CNY
2026-05,i-2ze8a1b2c3,web-prod-01,ECS,华东1,Alpha,张伟,3310.20,CNY
2026-05,i-2ze8a1b2c4,web-prod-01,ECS,华东1,ALPHA,张伟,3310.20,CNY
2026-05,i-2ze8a1b2c5,db-prod-master,RDS,华东1,Alpha,张伟,9120.00,CNY
2026-05,i-2ze8a1b2c6,cache-prod,Redis,华东1,Alpha,李娜,2180.00,CNY
2026-05,i-2ze8a1b2c7,oss-data-lake,OSS,华东1,Beta,王强,4890.60,CNY
2026-05,i-2ze8a1b2c8,ml-training-gpu,ECS,华北2,Beta,王强,22400.00,CNY
2026-05,i-2ze8a1b2c9,test-api-server,ECS,华东2,Gamma,赵敏,720.00,CNY
2026-05,i-2ze8a1b2d0,dev-sandbox,ECS,华东2,,赵敏,125.00,CNY
2026-05,i-2ze8a1b2d1,log-collector,ECS,华东1,Delta,陈磊,465.00,CNY
2026-05,i-2ze8a1b2d2,monitor-agent,ECS,华东1,Delta,陈磊,390.00,CNY
2026-05,i-2ze8a1b2d3,staging-db,RDS,华东1,Epsilon,周杰,1220.00,CNY
2026-05,i-2ze8a1b2d4,tmp-benchmark,ECS,华东2,,刘洋,8.50,CNY
2026-05,i-2ze8a1b2d5,cdn-accelerate,CDN,华东1,Beta,,2250.00,CNY
2026-05,i-2ze8a1b2d6,k8s-node-01,ECS,华东1,Alpha,张伟,2920.00,CNY
2026-05,i-2ze8a1b2d7,k8s-node-02,ECS,华东1,Alpha,张伟,2920.00,CNY
2026-05,i-2ze8a1b2d8,lambda-etl,FunctionCompute,华东1,Gamma,,60.00,CNY
2026-05,i-2ze8a1b2d9,unassigned-backup,OSS,华东1,,,92.00,CNY
2026-05,i-2ze8a1b2e0,new-ai-inference,ECS,华北2,Omega,孙鹏,18600.00,CNY
2026-05,i-2ze8a1b2e1,experiment-v2,ECS,华东2,omega,孙鹏,4200.00,CNY
2026-05,i-2ze8a1b2e2,forgotten-test,ECS,华东2,,,15.00,CNY
2026-05,i-2ze8a1b2e3,prod-api-gateway,APIGateway,华东1,Alpha,张伟,560.00,USD
2026-05,i-2ze8a1b2e4,overseas-cdn,CDN,美西,Beta,王强,1280.00,USD
